,Distance,Radius,X,Y,Z
448,53.796,2.031,243.472,206.791,207.233
449,54.009,2.104,243.578,206.923,207.105
450,54.211999999999996,2.188,243.678,207.047,206.97799999999998
451,54.403999999999996,2.279,243.769,207.16,206.854
452,54.583,2.373,243.851,207.263,206.732
453,54.748,2.4659999999999997,243.924,207.354,206.61599999999999
454,54.9,2.555,243.989,207.435,206.50400000000002
455,55.038999999999994,2.634,244.046,207.50599999999997,206.399
456,55.163999999999994,2.701,244.09400000000002,207.56799999999998,206.30200000000002
457,55.274,2.753,244.13400000000001,207.62,206.21400000000003
458,55.37,2.792,244.167,207.66400000000002,206.135
459,55.45099999999999,2.82,244.192,207.699,206.067
460,55.516,2.84,244.209,207.727,206.01
461,55.565,2.853,244.22,207.74599999999998,205.967
462,55.596999999999994,2.861,244.22299999999998,207.75900000000001,205.937
463,55.617,2.8680000000000003,244.22099999999998,207.766,205.919
464,55.626999999999995,2.875,244.21599999999998,207.767,205.91
465,55.632999999999996,2.8810000000000002,244.21,207.766,205.90900000000002
466,55.641999999999996,2.887,244.204,207.762,205.91299999999998
467,55.650999999999996,2.891,244.201,207.757,205.92
468,55.66,2.8930000000000002,244.202,207.752,205.928
469,55.669999999999995,2.892,244.209,207.74900000000002,205.933
470,55.684999999999995,2.889,244.225,207.74900000000002,205.935
471,55.711999999999996,2.8819999999999997,244.25099999999998,207.752,205.93099999999998
472,55.754,2.8739999999999997,244.29,207.761,205.918
473,55.812999999999995,2.866,244.342,207.77700000000002,205.895
474,55.888,2.861,244.40599999999998,207.8,205.863
475,55.977999999999994,2.861,244.481,207.83,205.824
476,56.07899999999999,2.867,244.563,207.86900000000003,205.78
477,56.189,2.8819999999999997,244.65200000000002,207.916,205.734
478,56.306999999999995,2.908,244.74400000000003,207.97299999999998,205.687
479,56.43,2.944,244.83700000000002,208.03900000000002,205.643
480,56.556999999999995,2.986,244.93099999999998,208.11599999999999,205.602
481,56.687,3.033,245.021,208.203,205.567
482,56.82,3.082,245.106,208.301,205.541
483,56.955999999999996,3.13,245.18400000000003,208.41099999999997,205.525
484,57.096,3.174,245.253,208.533,205.521
485,57.241,3.213,245.31400000000002,208.665,205.528
486,57.39,3.2460000000000004,245.36599999999999,208.803,205.545
487,57.54,3.273,245.41,208.94400000000002,205.56900000000002
488,57.69,3.295,245.44799999999998,209.08599999999998,205.59900000000002
489,57.836,3.312,245.479,209.225,205.63299999999998
490,57.977,3.325,245.50599999999997,209.359,205.668
491,58.108999999999995,3.335,245.52700000000002,209.484,205.703
492,58.227999999999994,3.341,245.544,209.59799999999998,205.737
493,58.331999999999994,3.345,245.558,209.696,205.767
